Date,"Tesla, Inc.","Elon Musk"
2019-03-23,6385,27257
2019-03-24,6693,28666
2019-03-25,7432,27867
2019-03-26,7077,27929
2019-03-27,7002,28664
2019-03-28,6852,26870
2019-03-29,6158,24047
2019-03-30,5666,23589
2019-03-31,6243,29348
2019-04-01,7359,38662
2019-04-02,7148,32667
2019-04-03,6656,28141
2019-04-04,8829,33659
2019-04-05,7090,32708
2019-04-06,5889,26798
2019-04-07,6515,26691
2019-04-08,7101,26592
2019-04-09,7055,26237
2019-04-10,6469,26090
2019-04-11,6716,26972
2019-04-12,6947,38571
2019-04-13,6075,33940
2019-04-14,6496,32701
2019-04-15,6689,28325
2019-04-16,6675,27899
2019-04-17,7128,27110
2019-04-18,6131,25404
2019-04-19,5708,28623
2019-04-20,6055,33153
2019-04-21,6448,35379
2019-04-22,8220,33348
2019-04-23,9407,35144
2019-04-24,9150,33383
2019-04-25,9578,33637
2019-04-26,7658,29158
2019-04-27,6725,30161
2019-04-28,6788,27773
2019-04-29,6956,27068
2019-04-30,6709,26559
2019-05-01,7136,25905
2019-05-02,7564,29189
2019-05-03,7355,30612
2019-05-04,6129,29476
2019-05-05,6574,27485
2019-05-06,6777,26735
2019-05-07,6558,25792
2019-05-08,7211,26507
2019-05-09,7081,28151
2019-05-10,7223,33728
2019-05-11,6602,34789
2019-05-12,7052,31305
2019-05-13,6983,27809
2019-05-14,6783,26276
2019-05-15,6735,27812
2019-05-16,6840,28610
2019-05-17,6664,31382
2019-05-18,5945,28743
2019-05-19,6099,27027
2019-05-20,7247,30145
2019-05-21,7920,31865
2019-05-22,8295,30498
2019-05-23,7438,27899
2019-05-24,7384,31014
2019-05-25,6043,26833
2019-05-26,6552,28176
2019-05-27,6763,26179
2019-05-28,6896,25739
2019-05-29,7328,25068
2019-05-30,6482,26188
2019-05-31,6176,24631
2019-06-01,5209,21475
2019-06-02,5835,21884
2019-06-03,6750,21848
2019-06-04,6702,21868
2019-06-05,6141,24153
2019-06-06,5922,20301
2019-06-07,5901,19777
2019-06-08,5356,18684
2019-06-09,5364,20944
2019-06-10,5575,20507
2019-06-11,5881,21278
2019-06-12,6955,22085
2019-06-13,6594,28239
2019-06-14,6320,26582
2019-06-15,5770,24348
2019-06-16,7000,27045
2019-06-17,7825,30748
2019-06-18,6562,26832
2019-06-19,6909,24088
2019-06-20,6519,22563
2019-06-21,5625,22035
2019-06-22,5088,20789
2019-06-23,6463,24676
2019-06-24,6794,24661
2019-06-25,8663,25168
2019-06-26,7116,22848
2019-06-27,5984,22036
2019-06-28,6198,34406
2019-06-29,5160,26154
2019-06-30,5850,23118
2019-07-01,5836,22424
2019-07-02,6237,20250
2019-07-03,7601,22881
2019-07-04,6752,19699
2019-07-05,6785,19246
2019-07-06,6098,18708
2019-07-07,7167,20789
2019-07-08,7175,20115
2019-07-09,6281,20145
2019-07-10,7071,29229
2019-07-11,6224,21922
2019-07-12,6758,22416
2019-07-13,5757,21430
2019-07-14,6557,24090
2019-07-15,6480,23647
2019-07-16,6812,27580
2019-07-17,7587,45796
2019-07-18,7507,46675
2019-07-19,6936,36250
2019-07-20,6605,32627
2019-07-21,7001,44064
2019-07-22,7636,40880
2019-07-23,6983,33876
2019-07-24,7558,30206
2019-07-25,10557,32764
2019-07-26,8406,31191
2019-07-27,7533,28458
2019-07-28,7519,29691
2019-07-29,7537,28066
2019-07-30,7249,26274
2019-07-31,6501,26446
2019-08-01,6155,24721
2019-08-02,6144,22631
2019-08-03,5702,21576
2019-08-04,5852,21703
2019-08-05,5839,20731
2019-08-06,5979,21865
2019-08-07,5921,22443
2019-08-08,6172,20980
2019-08-09,5547,20588
2019-08-10,5057,19751
2019-08-11,5833,22876
2019-08-12,6180,22109
2019-08-13,6117,22199
2019-08-14,6105,21102
2019-08-15,5507,19823
2019-08-16,5706,22725
2019-08-17,5570,24112
2019-08-18,6095,23157
2019-08-19,6244,23703
2019-08-20,6722,25974
2019-08-21,6703,26350
2019-08-22,6673,22964
2019-08-23,6201,21548
2019-08-24,5673,20155
2019-08-25,6000,20960
2019-08-26,6284,22713
2019-08-27,6089,21545
2019-08-28,6268,21871
2019-08-29,6286,26987
2019-08-30,6244,24358
2019-08-31,7053,21194
2019-09-01,6091,23110
2019-09-02,5916,24171
2019-09-03,5870,23935
2019-09-04,6287,22540
2019-09-05,6518,22744
2019-09-06,6671,23606
2019-09-07,6128,24342
2019-09-08,6259,24204
