,revid,parentid,timestamp,user,temp,comment,size,sha1,flags,intro_text,minor
0,1342866789,1342866466,2026-03-11T02:29:45Z,GTrang,False,,181,553699cb2df0309d233fb978fe3960941f027dc8,,REDIRECT X (social network),False
1,1342866466,1340642999,2026-03-11T02:27:35Z,GTrang,False,,88,196da150a856c2df86cdd7a130e5264e2dbe6e13,,REDIRECT X (social network),True
2,1340642999,1340436540,2026-02-26T21:27:36Z,InfiniteNexus,False,,88,196da150a856c2df86cdd7a130e5264e2dbe6e13,,REDIRECT X (social network),True
3,1340436540,1340432175,2026-02-25T18:50:21Z,Johnj1995,False,,77,d6ee2182a686a9698d6a2c2e4dae39458cfed603,,REDIRECT Twitter,False
4,1340432175,1303595659,2026-02-25T18:17:14Z,BD2412,False,,116,1c79cad5d88fd9f7ac5e78b03976a5aa998b97d6,,REDIRECT Twitter,True
5,1303595659,1302642459,2025-07-31T22:37:36Z,FMSky,False,,116,1c79cad5d88fd9f7ac5e78b03976a5aa998b97d6,,REDIRECT Twitter,False
6,1302642459,1296299561,2025-07-26T18:10:21Z,Venama,False,,132,e413b716d3307cc3d2e38294aa7adebc85c73ceb,,REDIRECT Twitter under Elon Musk,False
7,1296299561,1296298841,2025-06-19T04:18:38Z,Trailblazer101,False,,116,1c79cad5d88fd9f7ac5e78b03976a5aa998b97d6,,REDIRECT Twitter,False
8,1296298841,1262475265,2025-06-19T04:11:16Z,2600:1700:CD50:7140:6106:C061:7C9F:FC8,False,,297846,919f9d2afec06a5c4ce648932094b00f2d98aaed,,"Twitter, officially known as X since 2023, is an American microblogging and social networking service. It is one of the world's largest social media platforms and one of the most-visited websites. Users can share short text messages, images, and videos in short posts commonly known as ""tweets"" (officially ""posts"") and like other users' content. The platform also includes direct messaging, video and audio calling, bookmarks, lists, communities, a chatbot (Grok), job search, and Spaces, a social audio feature. Users can vote on context added by approved users using the Community Notes feature.Twitter was created in March 2006 by Jack Dorsey, Noah Glass, Biz Stone, and Evan Williams, and was launched in July of that year. Twitter grew quickly; by 2012 more than 100 million users produced 340 million daily tweets. Twitter, Inc., was based in San Francisco, California, and had more than 25 offices around the world. A signature characteristic of the service initially was that posts were required to be brief. Posts were initially limited to 140 characters, which was changed to 280 characters in 2017. The limitation was removed for subscribed accounts in 2023. 10% of users produce over 80% of tweets. In 2020, it was estimated that approximately 48 million accounts (15% of all accounts) were run by internet bots rather than humans.The service is owned by the American company X Corp., which was established to succeed the prior owner Twitter, Inc. in March 2023 following the October 2022 acquisition of Twitter by Elon Musk for US$44 billion. Musk stated that his goal with the acquisition was to promote free speech on the platform. Since his acquisition, the platform has been criticized for enabling the increased spread of disinformation and hate speech. Linda Yaccarino succeeded Musk as CEO on June 5, 2023, with Musk remaining as the chairman and the chief technology officer. In July 2023, Musk announced that Twitter would be rebranded to ""X"" and the bird logo would be retired, a process which was completed by May 2024. Since Musk's takeover, data from app-tracking firms has shown that global usage of Twitter has declined by approximately 15%, compared to a decline of 5–10% in some other social media sites. The platform has disputed that usage has dropped at all, with Musk claiming without evidence that membership had grown to 600 million users  tweet.In March 2025, X Corp. was acquired by xAI, Musk's artificial intelligence company. The deal, an all-stock transaction, valued X at $33 billion, with a full valuation of $45 billion when factoring in $12 billion in debt. Meanwhile, xAI itself was valued at $80 billion.",False
9,1262475265,1246501865,2024-12-11T16:44:09Z,Gabldotink,False,,116,1c79cad5d88fd9f7ac5e78b03976a5aa998b97d6,,REDIRECT Twitter,False
