,mkt_return,msk_tweets,msk_edits,tsla_edits,tsla_wiki_views,msk_wiki_views
2004-08-16 00:00:00-04:00,,,2.0,,,
2004-08-25 00:00:00-04:00,,,1.0,,,
2004-12-07 00:00:00-05:00,,,1.0,,,
2004-12-08 00:00:00-05:00,,,2.0,,,
2005-01-31 00:00:00-05:00,,,3.0,,,
2005-02-02 00:00:00-05:00,,,2.0,,,
2005-02-04 00:00:00-05:00,,,1.0,,,
2005-02-08 00:00:00-05:00,,,2.0,,,
2005-02-09 00:00:00-05:00,,,1.0,,,
2005-02-10 00:00:00-05:00,,,2.0,,,
2005-03-13 00:00:00-05:00,,,1.0,,,
2005-05-02 00:00:00-04:00,,,1.0,,,
2005-05-03 00:00:00-04:00,,,1.0,,,
2005-05-04 00:00:00-04:00,,,1.0,,,
2005-05-08 00:00:00-04:00,,,1.0,,,
2005-07-01 00:00:00-04:00,,,2.0,,,
2005-07-12 00:00:00-04:00,,,2.0,,,
2005-08-08 00:00:00-04:00,,,2.0,,,
2005-09-03 00:00:00-04:00,,,1.0,,,
2005-09-19 00:00:00-04:00,,,1.0,,,
2005-11-17 00:00:00-05:00,,,2.0,,,
2005-11-27 00:00:00-05:00,,,2.0,,,
2005-12-01 00:00:00-05:00,,,1.0,,,
2005-12-11 00:00:00-05:00,,,1.0,,,
2005-12-17 00:00:00-05:00,,,2.0,,,
2006-02-01 00:00:00-05:00,,,1.0,,,
2006-02-07 00:00:00-05:00,,,1.0,,,
2006-02-08 00:00:00-05:00,,,1.0,,,
2006-02-24 00:00:00-05:00,,,1.0,,,
2006-03-21 00:00:00-05:00,,,1.0,,,
2006-03-24 00:00:00-05:00,,,1.0,,,
2006-03-25 00:00:00-05:00,,,1.0,,,
2006-04-18 00:00:00-04:00,,,1.0,,,
2006-05-01 00:00:00-04:00,,,2.0,,,
2006-05-06 00:00:00-04:00,,,2.0,,,
2006-05-15 00:00:00-04:00,,,2.0,,,
2006-05-22 00:00:00-04:00,,,5.0,,,
2006-05-23 00:00:00-04:00,,,1.0,,,
2006-05-29 00:00:00-04:00,,,1.0,,,
2006-05-30 00:00:00-04:00,,,3.0,,,
2006-05-31 00:00:00-04:00,,,1.0,,,
2006-06-06 00:00:00-04:00,,,2.0,,,
2006-06-09 00:00:00-04:00,,,1.0,,,
2006-06-10 00:00:00-04:00,,,,2.0,,
2006-06-14 00:00:00-04:00,,,,1.0,,
2006-06-18 00:00:00-04:00,,,,2.0,,
2006-06-27 00:00:00-04:00,,,,1.0,,
2006-07-01 00:00:00-04:00,,,,3.0,,
2006-07-13 00:00:00-04:00,,,,1.0,,
2006-07-14 00:00:00-04:00,,,,1.0,,
2006-07-18 00:00:00-04:00,,,2.0,6.0,,
2006-07-19 00:00:00-04:00,,,1.0,8.0,,
2006-07-20 00:00:00-04:00,,,,5.0,,
2006-07-21 00:00:00-04:00,,,1.0,1.0,,
2006-07-22 00:00:00-04:00,,,,1.0,,
2006-07-23 00:00:00-04:00,,,,1.0,,
2006-07-24 00:00:00-04:00,,,,8.0,,
2006-07-26 00:00:00-04:00,,,1.0,2.0,,
2006-07-27 00:00:00-04:00,,,,1.0,,
2006-07-28 00:00:00-04:00,,,,2.0,,
2006-07-30 00:00:00-04:00,,,1.0,,,
2006-08-02 00:00:00-04:00,,,,3.0,,
2006-08-05 00:00:00-04:00,,,,1.0,,
2006-08-06 00:00:00-04:00,,,1.0,2.0,,
2006-08-07 00:00:00-04:00,,,,1.0,,
2006-08-08 00:00:00-04:00,,,1.0,,,
2006-08-10 00:00:00-04:00,,,,1.0,,
2006-08-17 00:00:00-04:00,,,1.0,,,
2006-08-19 00:00:00-04:00,,,,1.0,,
2006-08-20 00:00:00-04:00,,,1.0,2.0,,
2006-08-26 00:00:00-04:00,,,,1.0,,
2006-08-27 00:00:00-04:00,,,,1.0,,
2006-08-31 00:00:00-04:00,,,,1.0,,
2006-09-01 00:00:00-04:00,,,,6.0,,
2006-09-06 00:00:00-04:00,,,,1.0,,
2006-09-15 00:00:00-04:00,,,1.0,,,
2006-09-17 00:00:00-04:00,,,,1.0,,
2006-09-28 00:00:00-04:00,,,,1.0,,
2006-10-05 00:00:00-04:00,,,,1.0,,
2006-10-06 00:00:00-04:00,,,,1.0,,
2006-10-07 00:00:00-04:00,,,,6.0,,
2006-10-08 00:00:00-04:00,,,2.0,,,
2006-10-14 00:00:00-04:00,,,,1.0,,
2006-10-16 00:00:00-04:00,,,,2.0,,
2006-10-22 00:00:00-04:00,,,,1.0,,
2006-11-06 00:00:00-05:00,,,1.0,,,
2006-11-07 00:00:00-05:00,,,,1.0,,
2006-11-11 00:00:00-05:00,,,,1.0,,
2006-11-15 00:00:00-05:00,,,,2.0,,
2006-11-17 00:00:00-05:00,,,,1.0,,
2006-11-18 00:00:00-05:00,,,,3.0,,
2006-11-19 00:00:00-05:00,,,7.0,,,
2006-11-20 00:00:00-05:00,,,1.0,1.0,,
2006-11-25 00:00:00-05:00,,,1.0,,,
2006-11-26 00:00:00-05:00,,,,2.0,,
2006-11-27 00:00:00-05:00,,,,1.0,,
2006-12-04 00:00:00-05:00,,,,1.0,,
2006-12-11 00:00:00-05:00,,,2.0,,,
2006-12-12 00:00:00-05:00,,,,1.0,,
2006-12-14 00:00:00-05:00,,,,1.0,,
2006-12-15 00:00:00-05:00,,,1.0,,,
2006-12-16 00:00:00-05:00,,,,1.0,,
2006-12-22 00:00:00-05:00,,,4.0,,,
2006-12-31 00:00:00-05:00,,,1.0,,,
2007-01-02 00:00:00-05:00,,,5.0,1.0,,
2007-01-03 00:00:00-05:00,,,3.0,1.0,,
2007-01-04 00:00:00-05:00,,,,1.0,,
2007-01-05 00:00:00-05:00,,,,1.0,,
2007-01-06 00:00:00-05:00,,,4.0,,,
2007-01-13 00:00:00-05:00,,,2.0,,,
2007-01-19 00:00:00-05:00,,,3.0,1.0,,
2007-01-22 00:00:00-05:00,,,,1.0,,
2007-01-24 00:00:00-05:00,,,,1.0,,
2007-01-27 00:00:00-05:00,,,,3.0,,
2007-01-30 00:00:00-05:00,,,,3.0,,
2007-02-02 00:00:00-05:00,,,,1.0,,
2007-02-08 00:00:00-05:00,,,,1.0,,
2007-02-13 00:00:00-05:00,,,,2.0,,
2007-02-14 00:00:00-05:00,,,,1.0,,
2007-02-18 00:00:00-05:00,,,,6.0,,
2007-02-25 00:00:00-05:00,,,,2.0,,
2007-03-01 00:00:00-05:00,,,,1.0,,
2007-03-03 00:00:00-05:00,,,1.0,,,
2007-03-05 00:00:00-05:00,,,,1.0,,
2007-03-06 00:00:00-05:00,,,,1.0,,
2007-03-07 00:00:00-05:00,,,2.0,,,
2007-03-08 00:00:00-05:00,,,,1.0,,
2007-03-12 00:00:00-04:00,,,,1.0,,
2007-03-14 00:00:00-04:00,,,2.0,24.0,,
2007-03-15 00:00:00-04:00,,,2.0,3.0,,
2007-03-16 00:00:00-04:00,,,1.0,,,
2007-03-18 00:00:00-04:00,,,1.0,,,
2007-03-19 00:00:00-04:00,,,1.0,,,
2007-03-20 00:00:00-04:00,,,,9.0,,
2007-03-21 00:00:00-04:00,,,1.0,2.0,,
2007-03-22 00:00:00-04:00,,,2.0,1.0,,
2007-03-23 00:00:00-04:00,,,3.0,1.0,,
2007-03-24 00:00:00-04:00,,,,1.0,,
2007-03-26 00:00:00-04:00,,,7.0,,,
2007-03-27 00:00:00-04:00,,,,1.0,,
2007-03-28 00:00:00-04:00,,,,1.0,,
2007-03-29 00:00:00-04:00,,,,1.0,,
2007-04-02 00:00:00-04:00,,,1.0,,,
2007-04-04 00:00:00-04:00,,,1.0,,,
2007-04-06 00:00:00-04:00,,,2.0,1.0,,
2007-04-08 00:00:00-04:00,,,1.0,,,
2007-04-09 00:00:00-04:00,,,,3.0,,
2007-04-10 00:00:00-04:00,,,,1.0,,
2007-04-11 00:00:00-04:00,,,,1.0,,
2007-04-13 00:00:00-04:00,,,,1.0,,
2007-04-14 00:00:00-04:00,,,,2.0,,
2007-04-16 00:00:00-04:00,,,,3.0,,
2007-04-17 00:00:00-04:00,,,,7.0,,
2007-04-18 00:00:00-04:00,,,,2.0,,
2007-04-19 00:00:00-04:00,,,1.0,,,
2007-04-20 00:00:00-04:00,,,1.0,1.0,,
2007-04-21 00:00:00-04:00,,,,6.0,,
2007-04-22 00:00:00-04:00,,,,9.0,,
2007-04-26 00:00:00-04:00,,,,1.0,,
2007-04-28 00:00:00-04:00,,,1.0,,,
2007-04-29 00:00:00-04:00,,,,1.0,,
2007-05-07 00:00:00-04:00,,,,1.0,,
2007-05-08 00:00:00-04:00,,,,2.0,,
2007-05-09 00:00:00-04:00,,,,1.0,,
2007-05-11 00:00:00-04:00,,,,2.0,,
2007-05-13 00:00:00-04:00,,,,1.0,,
2007-05-18 00:00:00-04:00,,,,1.0,,
2007-05-20 00:00:00-04:00,,,,1.0,,
2007-05-21 00:00:00-04:00,,,1.0,,,
2007-05-25 00:00:00-04:00,,,,1.0,,
2007-05-26 00:00:00-04:00,,,4.0,,,
2007-05-29 00:00:00-04:00,,,,1.0,,
2007-05-30 00:00:00-04:00,,,1.0,,,
2007-06-02 00:00:00-04:00,,,,6.0,,
